participant_id,stepOne_Param,stepOneTwo_Param,stepTwoTwo_Param,rewards_Param,stepOneChoice,stepTwoChoice,reward,rewardProbabilities,isHighProbOne,isHighProbTwo,trial_type,trial_index,time_elapsed,internal_node_id
1,"[0,1]","[0,1]","[2,3]","[true,true,true,true]",0,1,True,"[0.25,0.3566085230202063,0.6386030539693385,0.75]",True,True,dawsTwoStep,62,296854,0.0-62.0
1,"[0,1]","[0,1]","[3,2]","[false,true,true,false]",0,1,True,"[0.25,0.34878730790254064,0.5752464453078089,0.75]",True,True,dawsTwoStep,63,300487,0.0-63.0
1,"[0,1]","[1,0]","[2,3]","[true,true,false,true]",0,1,True,"[0.2799493164187949,0.3241100971573214,0.5821003857134902,0.75]",True,True,dawsTwoStep,64,303775,0.0-64.0
1,"[0,1]","[0,1]","[3,2]","[false,true,true,true]",0,1,True,"[0.2650388650119702,0.30958820602055787,0.5856837026829766,0.75]",True,True,dawsTwoStep,65,306810,0.0-65.0
1,"[0,1]","[3,2]","[2,3]","[false,false,true,true]",0,3,True,"[0.2683618969831495,0.34139451044544666,0.5423107570878288,0.75]",False,True,dawsTwoStep,66,310611,0.0-66.0
1,"[1,0]","[0,1]","[2,3]","[false,false,true,true]",1,3,True,"[0.25,0.3529563167038667,0.5525654945765333,0.744024216425837]",True,True,dawsTwoStep,67,313936,0.0-67.0
1,"[1,0]","[3,2]","[0,1]","[false,true,false,true]",1,0,False,"[0.25,0.33853208091108,0.5787439446593712,0.7267659739472577]",False,False,dawsTwoStep,68,318193,0.0-68.0
1,"[1,0]","[3,2]","[3,2]","[false,false,true,true]",1,3,True,"[0.25,0.3407886002628608,0.5764060211992104,0.6998163078289156]",False,True,dawsTwoStep,69,321135,0.0-69.0
1,"[0,1]","[0,1]","[3,2]","[false,true,true,true]",1,3,True,"[0.25,0.3105927771842123,0.5470460943818901,0.7172794787429496]",True,True,dawsTwoStep,70,324563,0.0-70.0
1,"[1,0]","[2,3]","[2,3]","[true,false,true,true]",1,3,True,"[0.2785481046747838,0.2882392147817891,0.5432168796050029,0.6739948094913482]",False,True,dawsTwoStep,71,327957,0.0-71.0
1,"[1,0]","[3,2]","[3,2]","[false,false,true,false]",0,3,False,"[0.27074960178756796,0.32278796718723884,0.5459516156172168,0.6837121015610603]",False,True,dawsTwoStep,72,332249,0.0-72.0
1,"[1,0]","[0,1]","[2,3]","[false,false,true,true]",1,3,True,"[0.25,0.3144596682055767,0.5853265366885266,0.735783791010376]",True,True,dawsTwoStep,73,336246,0.0-73.0
1,"[1,0]","[1,0]","[3,2]","[false,false,false,true]",1,3,True,"[0.26140211503311483,0.2965106703250969,0.5827809491414786,0.6953145205156687]",True,True,dawsTwoStep,74,339401,0.0-74.0
1,"[1,0]","[0,1]","[2,3]","[false,false,true,false]",1,3,False,"[0.2837115285611414,0.31797504223204087,0.5477642133401746,0.6790898938588739]",True,True,dawsTwoStep,75,342309,0.0-75.0
1,"[1,0]","[1,0]","[3,2]","[false,true,false,true]",0,1,True,"[0.320766399848786,0.3134784682258906,0.5363520087375123,0.6902474200276484]",True,True,dawsTwoStep,76,345618,0.0-76.0
1,"[0,1]","[0,1]","[0,1]","[false,true,true,false]",0,1,True,"[0.2895666506798536,0.3181786150108094,0.5225952317724064,0.6905924012102411]",True,False,dawsTwoStep,77,349503,0.0-77.0
1,"[1,0]","[0,1]","[3,2]","[true,true,false,true]",0,1,True,"[0.3093540705329732,0.30285035819626216,0.5328831597503461,0.7197861359964792]",True,True,dawsTwoStep,78,353015,0.0-78.0
1,"[0,1]","[0,1]","[2,3]","[false,false,true,false]",0,1,False,"[0.31760365210880026,0.29092324554401555,0.4991490583936976,0.7074875655777331]",True,True,dawsTwoStep,79,357131,0.0-79.0
1,"[0,1]","[0,1]","[2,3]","[true,false,false,false]",1,3,False,"[0.32513694740602095,0.2779007533075588,0.49728571928754967,0.7140291175420214]",True,True,dawsTwoStep,80,360974,0.0-80.0
1,"[1,0]","[1,0]","[2,3]","[false,false,true,true]",1,3,True,"[0.3147796519607085,0.2537415175900688,0.5317112681284325,0.715536762159722]",True,True,dawsTwoStep,81,364811,0.0-81.0
1,"[0,1]","[3,2]","[2,3]","[true,false,true,false]",0,2,True,"[0.338502679014789,0.25282486497541623,0.5259029283742584,0.7107600152982527]",False,True,dawsTwoStep,82,368146,0.0-82.0
1,"[0,1]","[0,1]","[3,2]","[false,false,false,true]",0,1,False,"[0.36943854667595294,0.27029657516388633,0.5050517113267468,0.7225339346473019]",True,True,dawsTwoStep,83,372024,0.0-83.0
1,"[1,0]","[0,1]","[3,2]","[true,false,false,false]",0,1,False,"[0.37370570413445725,0.25,0.4884787501261935,0.7224103579773592]",True,True,dawsTwoStep,84,376752,0.0-84.0
1,"[0,1]","[1,0]","[3,2]","[true,false,false,true]",1,3,True,"[0.3363397615256722,0.2802814805040197,0.4784224071303464,0.75]",True,True,dawsTwoStep,85,380005,0.0-85.0
1,"[1,0]","[1,0]","[0,1]","[true,false,false,true]",1,0,True,"[0.3799393498530337,0.31208352498431746,0.49920815047018346,0.7248563783005091]",True,False,dawsTwoStep,86,383679,0.0-86.0
1,"[1,0]","[0,1]","[0,1]","[true,false,false,true]",0,0,True,"[0.3870403862606564,0.2617409227243442,0.45659210420524243,0.7335984128919197]",True,False,dawsTwoStep,87,387767,0.0-87.0
1,"[0,1]","[1,0]","[3,2]","[true,false,false,false]",0,0,True,"[0.40711405006451884,0.25,0.4202091025406037,0.75]",True,True,dawsTwoStep,88,390922,0.0-88.0
1,"[1,0]","[3,2]","[2,3]","[false,false,false,true]",1,3,True,"[0.37779236631009094,0.25,0.4073541802143009,0.75]",False,True,dawsTwoStep,89,396351,0.0-89.0
1,"[0,1]","[1,0]","[3,2]","[true,false,false,true]",1,3,True,"[0.37662781485417995,0.28865220172385697,0.44690407956761435,0.75]",True,True,dawsTwoStep,90,399765,0.0-90.0
1,"[0,1]","[1,0]","[1,0]","[false,false,false,true]",1,1,False,"[0.3647697203644689,0.30293308578327915,0.41103986426224404,0.75]",True,False,dawsTwoStep,91,405250,0.0-91.0
1,"[1,0]","[0,1]","[1,0]","[true,false,true,true]",0,1,False,"[0.3453526903079213,0.28548871877729204,0.40295479701062514,0.7426881847539323]",True,False,dawsTwoStep,92,409788,0.0-92.0
1,"[1,0]","[1,0]","[0,1]","[false,false,true,true]",0,0,False,"[0.3883160492720895,0.3129839297424973,0.4454909209908542,0.7415379796977769]",True,False,dawsTwoStep,93,412682,0.0-93.0
1,"[0,1]","[3,2]","[2,3]","[true,true,true,false]",0,3,False,"[0.39875104388345683,0.3111256701874322,0.4689307591068662,0.75]",False,True,dawsTwoStep,94,416847,0.0-94.0
1,"[0,1]","[0,1]","[1,0]","[false,false,false,false]",0,0,False,"[0.3938601533288512,0.3224575634496678,0.42418071259609846,0.75]",True,False,dawsTwoStep,95,420718,0.0-95.0
1,"[0,1]","[0,1]","[2,3]","[true,false,true,true]",0,1,False,"[0.4194632580149352,0.2832942756764678,0.4251004142353733,0.75]",True,True,dawsTwoStep,96,423366,0.0-96.0
1,"[1,0]","[0,1]","[2,3]","[true,false,true,true]",0,0,True,"[0.4275931397873059,0.2693868272121049,0.4531186899073998,0.75]",True,True,dawsTwoStep,97,429022,0.0-97.0
1,"[1,0]","[0,1]","[2,3]","[false,false,false,true]",0,0,False,"[0.42832653157052747,0.25,0.4578933353817572,0.7232341607768353]",True,True,dawsTwoStep,98,432569,0.0-98.0
1,"[1,0]","[0,1]","[1,0]","[true,true,false,true]",1,0,True,"[0.41827867294860355,0.269951147799952,0.46948641785723494,0.7175714220041084]",True,False,dawsTwoStep,99,435631,0.0-99.0
1,"[0,1]","[0,1]","[3,2]","[true,true,false,true]",0,1,True,"[0.40242699969185425,0.29131796464808163,0.4571616497807776,0.676141176815005]",True,True,dawsTwoStep,100,439059,0.0-100.0
1,"[0,1]","[3,2]","[1,0]","[true,false,true,true]",0,3,True,"[0.40499706947130154,0.28716323765098595,0.5071394787391139,0.6684938841674737]",False,False,dawsTwoStep,101,445205,0.0-101.0
1,"[0,1]","[1,0]","[1,0]","[true,false,false,true]",1,0,True,"[0.4013409421365947,0.2836363206348414,0.5109768688378038,0.6556098369932373]",True,False,dawsTwoStep,102,449652,0.0-102.0
1,"[0,1]","[0,1]","[0,1]","[false,false,true,true]",0,1,False,"[0.3464953904715949,0.29702307202037626,0.524431347931674,0.610303969263909]",True,False,dawsTwoStep,103,453851,0.0-103.0
1,"[1,0]","[0,1]","[0,1]","[false,false,false,false]",1,0,False,"[0.3237857010796268,0.31257365148830696,0.5474646528383121,0.5781840999679315]",True,False,dawsTwoStep,104,457553,0.0-104.0
1,"[0,1]","[1,0]","[3,2]","[false,false,true,true]",1,3,True,"[0.3383361969352473,0.3163988504689631,0.5676837078166518,0.5977631332288985]",True,True,dawsTwoStep,105,460292,0.0-105.0
1,"[0,1]","[0,1]","[3,2]","[false,false,true,true]",1,3,True,"[0.33414246848981966,0.31406363111916674,0.5645436857802482,0.5827771937372029]",True,True,dawsTwoStep,106,463172,0.0-106.0
1,"[1,0]","[0,1]","[0,1]","[false,true,false,false]",1,0,False,"[0.343341155083291,0.3407156590989983,0.5412690323895729,0.5714834388571163]",True,False,dawsTwoStep,107,466704,0.0-107.0
1,"[0,1]","[0,1]","[3,2]","[true,true,true,true]",1,3,True,"[0.3720829925905715,0.3479841300079748,0.5221104909578556,0.5698262785163875]",True,True,dawsTwoStep,108,470862,0.0-108.0
1,"[1,0]","[0,1]","[2,3]","[true,false,true,true]",1,3,True,"[0.35985920412518846,0.3360070855137647,0.5557997978554561,0.5823025454787657]",True,True,dawsTwoStep,109,474404,0.0-109.0
1,"[0,1]","[3,2]","[3,2]","[false,false,true,false]",0,3,False,"[0.33463912674154017,0.3774299188987598,0.5636135666342625,0.5996849317536311]",False,True,dawsTwoStep,110,477225,0.0-110.0
1,"[0,1]","[0,1]","[3,2]","[false,false,false,true]",0,1,False,"[0.32962666569068166,0.35849334985305836,0.6128594805143222,0.6150845598849226]",True,True,dawsTwoStep,111,480058,0.0-111.0
1,"[0,1]","[1,0]","[3,2]","[true,true,true,false]",1,3,False,"[0.3319699667832288,0.3221921189500935,0.5889096176594373,0.636240908776108]",True,True,dawsTwoStep,112,483132,0.0-112.0
1,"[0,1]","[0,1]","[2,3]","[true,false,false,true]",1,3,True,"[0.32564781832190093,0.31999253727543747,0.5611942353169568,0.6899539327551203]",True,True,dawsTwoStep,113,486020,0.0-113.0
1,"[1,0]","[0,1]","[3,2]","[false,false,true,true]",1,3,True,"[0.3144472963033711,0.3067271083944226,0.5664207750339874,0.6799409295203452]",True,True,dawsTwoStep,114,489791,0.0-114.0
1,"[0,1]","[2,3]","[0,1]","[true,false,true,false]",1,1,False,"[0.3234249947051257,0.30950876729311816,0.5898873160630757,0.6889443417235122]",False,False,dawsTwoStep,115,494645,0.0-115.0
1,"[1,0]","[1,0]","[3,2]","[false,true,false,true]",1,3,True,"[0.34494689256829464,0.3111037096531148,0.5604795533614383,0.7091795228402012]",True,True,dawsTwoStep,116,497974,0.0-116.0
1,"[0,1]","[1,0]","[3,2]","[false,false,false,false]",1,3,False,"[0.37809646071802405,0.37375737255422786,0.5453743015263537,0.7238863964179286]",True,True,dawsTwoStep,117,503643,0.0-117.0
1,"[0,1]","[1,0]","[2,3]","[true,false,true,true]",1,3,True,"[0.38873470662218135,0.3628131146116016,0.5503199103338279,0.708871767239373]",True,True,dawsTwoStep,118,507091,0.0-118.0
1,"[1,0]","[0,1]","[1,0]","[false,false,true,true]",1,0,False,"[0.3787838518409486,0.3592251751056459,0.5187347245453184,0.705839481099454]",True,False,dawsTwoStep,119,510421,0.0-119.0
1,"[1,0]","[0,1]","[3,2]","[false,false,true,false]",1,3,False,"[0.34069045889895466,0.3780302143089059,0.5432518412223061,0.7311453309964294]",True,True,dawsTwoStep,120,513821,0.0-120.0
1,"[1,0]","[1,0]","[3,2]","[false,true,true,true]",0,0,False,"[0.37365251244726505,0.4156448201399233,0.5657674863118415,0.7420346569811254]",True,True,dawsTwoStep,121,517992,0.0-121.0
1,"[1,0]","[0,1]","[3,2]","[false,true,true,true]",0,0,False,"[0.35555494869844245,0.4001252271923142,0.6083889584508926,0.75]",True,True,dawsTwoStep,122,520640,0.0-122.0
1,"[1,0]","[2,3]","[2,3]","[false,true,false,true]",1,3,True,"[0.36888939466934245,0.3737170172721274,0.6515838735933498,0.7419890205030982]",False,True,dawsTwoStep,123,524091,0.0-123.0
1,"[1,0]","[0,1]","[1,0]","[false,false,false,false]",0,0,False,"[0.36020110293888763,0.3725502542866917,0.6634900764569271,0.7048355872667893]",True,False,dawsTwoStep,124,527258,0.0-124.0
1,"[0,1]","[3,2]","[0,1]","[false,false,true,false]",0,3,False,"[0.31535853536323594,0.38351723216323963,0.6774150500917006,0.7310400806552301]",False,False,dawsTwoStep,125,530432,0.0-125.0
1,"[1,0]","[2,3]","[3,2]","[true,false,false,true]",1,3,True,"[0.3631923946302784,0.38643412753012946,0.67479934170603,0.7041998733698758]",False,True,dawsTwoStep,126,534701,0.0-126.0
1,"[1,0]","[1,0]","[2,3]","[true,false,false,true]",1,3,True,"[0.304847629021682,0.3606866714942744,0.711141380245612,0.720804445884503]",True,True,dawsTwoStep,127,537955,0.0-127.0
1,"[1,0]","[0,1]","[1,0]","[true,false,true,true]",1,1,False,"[0.3432213898401894,0.3364681570532792,0.714559428183976,0.7414907833361806]",True,False,dawsTwoStep,128,541777,0.0-128.0
1,"[0,1]","[3,2]","[2,3]","[false,false,false,true]",0,3,True,"[0.33833075880264535,0.307070797512188,0.6913372119412194,0.75]",False,True,dawsTwoStep,129,546223,0.0-129.0
1,"[1,0]","[0,1]","[1,0]","[false,false,true,false]",0,1,False,"[0.34444521255838445,0.34448826026367846,0.6721849365687333,0.7178176423075799]",True,False,dawsTwoStep,130,550605,0.0-130.0
1,"[0,1]","[0,1]","[3,2]","[false,false,true,false]",1,2,True,"[0.3450975197557913,0.34784278933285717,0.6421022670534009,0.75]",True,True,dawsTwoStep,131,556480,0.0-131.0
1,"[0,1]","[3,2]","[2,3]","[false,false,true,true]",1,2,True,"[0.3221581130338696,0.3598853014668208,0.6410221784192403,0.75]",False,True,dawsTwoStep,132,560721,0.0-132.0
1,"[1,0]","[1,0]","[2,3]","[false,true,true,true]",1,2,True,"[0.3101213909578614,0.383526435015269,0.6293489355971045,0.7326416809202262]",True,True,dawsTwoStep,133,564249,0.0-133.0
